City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Peniche,PT,2020-08-16 18:52:31,39.36,-9.38,69.01,87,0,13.0
111,Saskylakh,RU,2020-08-16 18:52:31,71.92,114.08,44.96,77,0,1.32
112,Nurota,UZ,2020-08-16 18:52:32,40.56,65.69,82.4,24,96,11.41
113,Georgetown,MY,2020-08-16 18:52:32,5.41,100.34,80.01,88,40,3.36
114,Namatanai,PG,2020-08-16 18:52:32,-3.67,152.43,78.53,85,9,8.52
115,Cabo San Lucas,MX,2020-08-16 18:50:22,22.89,-109.91,93.99,59,40,14.99
116,Siquijor,PH,2020-08-16 18:52:32,9.21,123.52,81.23,76,100,7.38
117,Klaksvik,FO,2020-08-16 18:52:33,62.23,-6.59,55.4,93,99,6.93
118,Airai,TL,2020-08-16 18:52:33,-8.93,125.41,55.9,76,0,2.33
119,Tazmalt,DZ,2020-08-16 18:52:33,36.39,4.4,82.4,58,100,5.82
120,Flin Flon,CA,2020-08-16 18:52:33,54.77,-101.86,60.8,63,75,9.17
121,Chumikan,RU,2020-08-16 18:52:34,54.72,135.31,53.56,90,100,6.8
122,Cerritos,US,2020-08-16 18:52:34,33.86,-118.06,89.6,40,20,5.82
123,Dinard,FR,2020-08-16 18:52:35,48.63,-2.06,63.0,93,99,4.7
124,Norman Wells,CA,2020-08-16 18:52:35,65.28,-126.83,57.2,76,75,9.17
125,Sur,OM,2020-08-16 18:52:35,22.57,59.53,89.85,55,97,11.72
126,Sao Filipe,CV,2020-08-16 18:52:35,14.9,-24.5,81.0,78,93,13.22
127,Dudinka,RU,2020-08-16 18:52:35,69.41,86.18,59.0,58,99,8.95
128,Mandalgovi,MN,2020-08-16 18:52:36,45.76,106.27,63.14,30,44,10.69
129,New Norfolk,AU,2020-08-16 18:52:36,-42.78,147.06,52.0,89,100,2.3
130,Derzhavinsk,KZ,2020-08-16 18:52:36,51.1,66.32,62.55,52,18,10.74
131,Kanker,IN,2020-08-16 18:52:36,20.27,81.49,75.18,90,100,10.76
132,Roma,US,2020-08-16 18:47:54,43.21,-75.46,78.8,54,40,11.41
133,Dolinsk,RU,2020-08-16 18:52:37,47.35,142.8,55.4,100,90,4.47
134,Zabol,AF,2020-08-16 18:52:37,32.25,67.25,78.96,16,0,8.79
135,Hasaki,JP,2020-08-16 18:52:37,35.73,140.83,78.8,83,75,3.36
136,Salinopolis,BR,2020-08-16 18:52:37,-0.61,-47.36,84.31,71,100,17.81
137,Eureka,US,2020-08-16 18:52:38,40.8,-124.16,70.0,47,91,5.73
138,Saint-Francois,FR,2020-08-16 18:52:38,46.42,3.91,71.6,73,9,6.93
139,Quatre Cocos,MU,2020-08-16 18:52:38,-20.21,57.76,71.6,68,40,13.87
140,Krasnoselkup,RU,2020-08-16 18:52:39,65.7,82.47,58.68,93,44,10.31
141,Huaibei,CN,2020-08-16 18:52:39,33.97,116.79,79.84,87,0,4.05
142,Korla,CN,2020-08-16 18:52:39,41.76,86.15,79.0,54,0,7.0
143,Lata,PT,2020-08-16 18:52:39,40.16,-8.33,70.0,78,61,5.99
144,Port Augusta,AU,2020-08-16 18:52:39,-32.5,137.77,53.6,58,75,8.05
145,Tazovskiy,RU,2020-08-16 18:52:40,67.47,78.7,55.92,95,79,10.56
146,Cody,US,2020-08-16 18:52:07,44.53,-109.06,86.0,14,1,8.05
147,Maceio,BR,2020-08-16 18:52:07,-9.67,-35.74,78.8,78,75,9.17
148,Uniao,BR,2020-08-16 18:52:41,-4.59,-42.86,96.8,26,2,9.17
149,Hithadhoo,MV,2020-08-16 18:52:41,-0.6,73.08,83.89,66,60,3.38
150,Faya,SA,2020-08-16 18:52:41,18.39,42.45,75.2,53,43,2.19
151,Esperance,AU,2020-08-16 18:52:41,-33.87,121.9,48.2,87,75,20.8
152,Katsuura,JP,2020-08-16 18:52:41,35.13,140.3,82.4,94,75,4.7
153,Oistins,BB,2020-08-16 18:52:42,13.07,-59.53,87.8,70,40,20.8
154,Gornyy,RU,2020-08-16 18:52:42,55.12,83.91,53.73,95,3,5.03
155,Tuatapere,NZ,2020-08-16 18:52:42,-46.13,167.68,37.0,97,88,1.99
156,Ancud,CL,2020-08-16 18:52:42,-41.87,-73.82,51.01,70,40,3.36
157,Santa Maria,BR,2020-08-16 18:51:11,-29.68,-53.81,66.2,45,20,6.93
